Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MatchesPlayed;Starts;MinPlayed;90sPlayed;Goals;Assists;Goals+Assists;Goals-PenaltyGoals;PenaltyGoals;PenaltyAttempts;YellowCards;RedCards;ExpectedGoals;NonPenaltyExpectedGoals;ExpectedAssists;NonPenaltyExpectedGoals+ExpectedAssists;ProgressiveCarries;ProgressivePasses;ProgressivePassesReceived;Goals/90;Assists/90;Goals+Assist/90;Goals-PenaltyGoals/90;Goals+Assists-PenaltyGoals/90;ExpectedGoals/90;ExpectedAssists/90;ExpectedGoals+ExpectedAssists/90;NonPenaltyExpectedGoals/90;NonPenaltyExpectedGoals+ExpectedAssists/90
1783;Max Moerstedt;de GER;DF,FW;Hoffenheim;de Bundesliga;;;1;0;12;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2528;Max Svensson;es ESP;FW;Osasuna;es La Liga;;;1;0;3;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2209;Pepe Reina;es ESP;GK;Villarreal;es La Liga;40;1982;2;2;180;2.0;0;0;0;0;0;0;2;1;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
373;Claudio Bravo;cl CHI;GK;Betis;es La Liga;40;1983;7;7;630;7.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.00;0.01
635;Dante;br BRA;DF;Nice;fr Ligue 1;39;1983;32;32;2,843;31.6;1;1;2;1;0;0;5;1;0.9;0.9;1.0;2.0;13;185;6;0.03;0.03;0.06;0.03;0.06;0.03;0.03;0.06;0.03;0.06
1770;Antonio Mirante;it ITA;GK;Milan;it Serie A;40;1983;2;2;177;2.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
611;Iván Cuéllar;es ESP;GK;Mallorca;es La Liga;39;1984;1;1;90;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1103;Makoto Hasebe;jp JPN;DF,MF;Eint Frankfurt;de Bundesliga;39;1984;8;2;218;2.4;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;10;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2431;Thiago Silva;br BRA;DF;Chelsea;eng Premier League;38;1984;31;28;2,527;28.1;3;1;4;3;0;0;4;0;0.8;0.8;1.0;1.8;2;102;5;0.11;0.04;0.14;0.11;0.14;0.03;0.04;0.06;0.03;0.06
62;Raúl Albiol;es ESP;DF;Villarreal;es La Liga;37;1985;26;24;2,031;22.6;0;1;1;0;0;0;6;0;0.4;0.4;0.8;1.3;8;62;0;0.00;0.04;0.04;0.00;0.04;0.02;0.04;0.06;0.02;0.06
837;Łukasz Fabiański;pl POL;GK;West Ham;eng Premier League;38;1985;10;7;721;8.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1451;Jean-Louis Leca;fr FRA;GK;Lens;fr Ligue 1;37;1985;1;1;90;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1593;Steve Mandanda;fr FRA;GK;Rennes;fr Ligue 1;38;1985;34;34;3,060;34.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1782;Luka Modrić;hr CRO;MF;Real Madrid;es La Liga;37;1985;32;18;1,688;18.8;2;6;8;2;0;0;2;0;1.3;1.3;5.5;6.8;53;196;85;0.11;0.32;0.43;0.11;0.43;0.07;0.30;0.37;0.07;0.37
1869;Jesús Navas;es ESP;DF;Sevilla;es La Liga;37;1985;29;25;2,003;22.3;0;2;2;0;0;0;6;1;0.1;0.1;1.9;2.1;54;103;141;0.00;0.09;0.09;0.00;0.09;0.01;0.09;0.09;0.01;0.09
1882;Álvaro Negredo;es ESP;FW,MF;Cádiz;es La Liga;37;1985;7;0;54;0.6;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0.2;0;0;0;0.00;0.00;0.00;0.00;0.00;0.16;0.13;0.28;0.16;0.28
1942;Guillermo Ochoa;mx MEX;GK;Salernitana;it Serie A;38;1985;21;21;1,890;21.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2802;Ashley Young;eng ENG;DF,MF;Everton;eng Premier League;38;1985;31;27;2,280;25.3;0;0;0;0;0;0;7;1;0.6;0.6;1.5;2.1;40;82;61;0.00;0.00;0.00;0.00;0.00;0.02;0.06;0.08;0.02;0.08
132;Simone Aresti;it ITA;GK;Cagliari;it Serie A;37;1986;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
842;Radamel Falcao;co COL;FW,DF;Rayo Vallecano;es La Liga;37;1986;22;2;407;4.5;1;0;1;0;1;1;4;0;2.7;2.0;0.3;2.2;7;7;23;0.22;0.00;0.22;0.00;0.00;0.60;0.06;0.67;0.43;0.49
944;Raúl García;es ESP;FW,MF;Athletic Club;es La Liga;37;1986;20;1;420;4.7;1;0;1;1;0;0;3;0;0.9;0.9;0.0;0.9;4;19;15;0.21;0.00;0.21;0.21;0.21;0.20;0.00;0.20;0.20;0.20
981;Olivier Giroud;fr FRA;FW;Milan;it Serie A;36;1986;35;28;2,363;26.3;15;8;23;11;4;5;1;1;14.2;10.2;4.7;14.9;9;28;95;0.57;0.30;0.88;0.42;0.72;0.54;0.18;0.72;0.39;0.57
1043;Andrés Guardado;mx MEX;MF;Betis;es La Liga;36;1986;12;4;447;5.0;0;0;0;0;0;0;2;0;0.1;0.1;0.2;0.3;5;36;6;0.00;0.00;0.00;0.00;0.00;0.03;0.04;0.06;0.03;0.06
1514;Anthony Losilla;fr FRA;MF;Bochum;de Bundesliga;37;1986;31;31;2,576;28.6;1;2;3;1;0;0;10;0;2.3;2.3;1.5;3.7;11;100;42;0.03;0.07;0.10;0.03;0.10;0.08;0.05;0.13;0.08;0.13
1754;James Milner;eng ENG;DF,MF;Brighton;eng Premier League;37;1986;15;11;773;8.6;0;2;2;0;0;0;3;0;0.3;0.3;1.8;2.0;11;69;73;0.00;0.23;0.23;0.00;0.23;0.03;0.21;0.24;0.03;0.24
1870;Keylor Navas;cr CRC;GK;Paris S-G;fr Ligue 1;36;1986;4;4;360;4.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1888;Manuel Neuer;de GER;GK;Bayern Munich;de Bundesliga;37;1986;23;23;2,053;22.8;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;8;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2185;Sergio Ramos;es ESP;DF;Sevilla;es La Liga;37;1986;28;28;2,517;28.0;3;0;3;3;0;0;7;1;1.9;1.9;0.1;2.0;11;81;5;0.11;0.00;0.11;0.11;0.11;0.07;0.00;0.07;0.07;0.07
2517;Cristhian Stuani;uy URU;FW;Girona;es La Liga;36;1986;31;5;804;8.9;9;3;12;9;0;0;6;0;9.6;9.6;1.9;11.5;3;5;24;1.01;0.34;1.34;1.01;1.34;1.08;0.21;1.29;1.08;1.29
