Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MatchesPlayed;Starts;MinPlayed;90sPlayed;Goals;Assists;Goals+Assists;Goals-PenaltyGoals;PenaltyGoals;PenaltyAttempts;YellowCards;RedCards;ExpectedGoals;NonPenaltyExpectedGoals;ExpectedAssists;NonPenaltyExpectedGoals+ExpectedAssists;ProgressiveCarries;ProgressivePasses;ProgressivePassesReceived;Goals/90;Assists/90;Goals+Assist/90;Goals-PenaltyGoals/90;Goals+Assists-PenaltyGoals/90;ExpectedGoals/90;ExpectedAssists/90;ExpectedGoals+ExpectedAssists/90;NonPenaltyExpectedGoals/90;NonPenaltyExpectedGoals+ExpectedAssists/90
257;Reda Belahyane;ma MAR;MF;Nice;fr Ligue 1;19;2004;1;0;27;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
317;Hendry Blank;de GER;DF;Dortmund;de Bundesliga;18;2004;1;0;45;0.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
323;Benicio Boaitey;eng ENG;FW,DF;Brighton;eng Premier League;19;2004;5;0;40;0.4;0;0;0;0;0;0;1;0;0.0;0.0;0.1;0.1;1;2;2;0.00;0.00;0.00;0.00;0.00;0.05;0.13;0.19;0.05;0.19
331;Adama Bojang;gm GAM;FW;Reims;fr Ligue 1;19;2004;9;0;83;0.9;0;0;0;0;0;0;1;0;1.3;1.3;0.0;1.3;2;1;8;0.00;0.00;0.00;0.00;0.00;1.38;0.05;1.43;1.38;1.43
343;Yvandro Borges Sanches;lu LUX;MF,FW;Gladbach;de Bundesliga;19;2004;3;0;18;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
352;Badredine Bouanani;dz ALG;FW;Nice;fr Ligue 1;18;2004;7;1;161;1.8;0;0;0;0;0;0;0;0;0.2;0.2;0.5;0.7;10;2;24;0.00;0.00;0.00;0.00;0.00;0.12;0.26;0.37;0.12;0.37
353;Badredine Bouanani;dz ALG;MF;Lorient;fr Ligue 1;18;2004;11;4;443;4.9;1;0;1;1;0;0;0;0;1.4;1.4;0.9;2.3;30;32;27;0.20;0.00;0.20;0.20;0.20;0.28;0.18;0.46;0.28;0.46
399;Manu Bueno;es ESP;MF;Sevilla;es La Liga;19;2004;4;1;117;1.3;0;0;0;0;0;0;1;0;0.0;0.0;0.1;0.1;1;3;1;0.00;0.00;0.00;0.00;0.00;0.02;0.07;0.10;0.02;0.10
402;Facundo Buonanotte;ar ARG;FW,MF;Brighton;eng Premier League;18;2004;27;17;1,364;15.2;3;1;4;3;0;0;7;0;2.4;2.4;1.8;4.2;23;42;69;0.20;0.07;0.26;0.20;0.26;0.16;0.12;0.28;0.16;0.28
408;Rareș-Cătălin Burnete;ro ROU;FW;Lecce;it Serie A;19;2004;1;0;8;0.1;0;1;1;0;0;0;0;0;0.0;0.0;0.1;0.1;0;0;2;0.00;11.25;11.25;0.00;11.25;0.00;0.71;0.71;0.00;0.71
430;Lamine Camara;sn SEN;MF;Metz;fr Ligue 1;19;2004;31;26;2,255;25.1;1;4;5;1;0;1;3;0;2.2;1.4;3.3;4.7;23;97;69;0.04;0.16;0.20;0.04;0.20;0.09;0.13;0.22;0.06;0.19
448;Gino Caoki;fr FRA;MF;Lorient;fr Ligue 1;19;2004;1;0;7;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
469;Antonin Cartillier;fr FRA;DF;Monaco;fr Ligue 1;19;2004;1;0;8;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
477;Kaelan Casey;eng ENG;DF;West Ham;eng Premier League;18;2004;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
488;Santiago Castro;ar ARG;FW;Bologna;it Serie A;18;2004;8;2;242;2.7;1;1;2;1;0;0;1;0;1.0;1.0;0.5;1.5;1;1;15;0.37;0.37;0.74;0.37;0.74;0.35;0.20;0.55;0.35;0.55
514;Charlys;br BRA;MF;Hellas Verona;it Serie A;19;2004;2;0;25;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.15;0.15;0.00;0.15
519;Youssef Chermiti;pt POR;FW;Everton;eng Premier League;19;2004;18;1;208;2.3;0;0;0;0;0;0;3;0;0.7;0.7;0.8;1.5;5;5;15;0.00;0.00;0.00;0.00;0.00;0.31;0.34;0.65;0.31;0.65
539;Djaoui Cissé;fr FRA;MF;Rennes;fr Ligue 1;19;2004;2;0;4;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
555;Nnamdi Collins;de GER;DF;Eint Frankfurt;de Bundesliga;19;2004;2;1;90;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;13;5;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
571;Tommaso Corazza;it ITA;DF;Bologna;it Serie A;19;2004;9;1;195;2.2;0;0;0;0;0;0;1;0;0.1;0.1;0.1;0.2;10;14;9;0.00;0.00;0.00;0.00;0.00;0.04;0.03;0.07;0.04;0.07
